teamOneWon,teamTwoWon,map2Team1SideBothPlayer1PlusMinus,map2Team1SideBothPlayer1Rating,map2Team1SideBothPlayer2PlusMinus,map2Team1SideBothPlayer2Rating,map2Team1SideBothPlayer3PlusMinus,map2Team1SideBothPlayer3Rating,map2Team1SideBothPlayer4PlusMinus,map2Team1SideBothPlayer4Rating,map2Team1SideBothPlayer5PlusMinus,map2Team1SideBothPlayer5Rating,map2Team2SideBothPlayer1PlusMinus,map2Team2SideBothPlayer1Rating,map2Team2SideBothPlayer2PlusMinus,map2Team2SideBothPlayer2Rating,map2Team2SideBothPlayer3PlusMinus,map2Team2SideBothPlayer3Rating,map2Team2SideBothPlayer4PlusMinus,map2Team2SideBothPlayer4Rating,map2Team2SideBothPlayer5PlusMinus,map2Team2SideBothPlayer5Rating
True,False,12,1.37,6,1.31,1,1.22,3,1.19,1,1.09,-2,1.05,-4,1.02,-5,0.97,-3,0.84,-12,0.75
True,False,6,1.56,6,1.36,4,1.35,2,1.24,3,1.21,-3,1.03,-6,1.03,0,0.99,-7,0.66,-5,0.58
False,True,9,1.67,4,1.56,2,1.14,-3,0.84,-8,0.73,0,1.27,2,1.14,2,1.12,-2,1.08,-8,0.65
False,True,-1,1.31,4,1.26,5,1.16,-1,1.04,-11,0.74,16,1.83,0,1.13,0,1.03,-3,0.94,-9,0.68
True,False,9,1.44,5,1.32,0,1.22,4,1.18,-3,0.97,6,1.24,0,0.99,-2,0.96,-7,0.77,-12,0.37
True,False,6,1.42,5,1.39,2,1.28,-7,0.8,-5,0.8,6,1.33,-4,1.22,1,1.21,-2,1.1,-3,0.87
True,False,9,1.84,9,1.68,9,1.68,6,1.38,-8,0.62,4,1.23,-2,0.99,-7,0.62,-10,0.59,-10,0.57
True,False,10,1.58,8,1.36,4,1.21,0,1.08,-4,0.95,-2,1.03,-4,0.9,-1,0.88,-4,0.79,-9,0.59
False,True,3,1.15,-3,0.8,-5,0.68,-5,0.61,-14,0.41,13,2.04,1,1.46,4,1.41,2,1.32,3,1.19
True,False,10,1.62,1,1.3,6,1.29,-1,1.07,-1,0.99,2,1.27,0,1.19,0,1.04,-3,0.86,-14,0.5
True,False,14,2.09,7,1.51,2,1.22,2,1.13,-2,1.04,1,0.98,-4,0.85,-5,0.74,-4,0.71,-12,0.51
False,True,2,1.16,-6,1.01,-6,0.83,-8,0.77,-5,0.76,14,1.66,12,1.65,3,1.38,-4,1.03,-2,0.84
True,False,3,1.38,6,1.35,-1,1.31,5,1.24,0,0.96,1,1.21,3,1.07,-7,0.82,-3,0.81,-8,0.74
True,False,11,1.84,10,1.66,10,1.59,8,1.51,1,1.34,-5,0.84,-6,0.63,-8,0.51,-11,0.38,-10,0.34
False,True,4,1.13,0,0.98,-7,0.82,-3,0.79,-10,0.52,13,1.85,6,1.45,4,1.35,-4,1.02,-3,0.92
True,False,8,1.78,13,1.78,8,1.69,2,1.22,-3,0.89,-4,0.83,-4,0.79,-5,0.75,-5,0.66,-10,0.34
True,False,9,1.6,8,1.33,4,1.19,4,1.17,-8,0.66,-1,1.19,0,1.15,-5,0.83,-3,0.79,-8,0.79
True,False,10,1.51,5,1.31,-4,1.0,-1,0.99,-7,0.83,5,1.38,-1,1.15,4,1.1,1,1.07,-12,0.76
False,True,3,1.14,-4,0.98,-5,0.88,-4,0.88,-5,0.77,4,1.43,4,1.33,3,1.26,4,1.08,-1,1.0
True,False,12,1.69,3,1.25,-1,1.17,-4,0.96,-7,0.66,-3,1.13,1,1.12,0,1.11,1,1.09,-3,0.9
True,False,11,1.8,7,1.6,4,1.49,3,1.32,1,1.15,1,1.13,-4,1.06,-9,0.72,-7,0.7,-8,0.47
True,False,9,1.45,7,1.45,3,1.41,1,1.11,0,1.0,2,1.1,-4,1.06,-1,0.98,-8,0.78,-11,0.54
False,True,6,1.44,-2,1.04,-5,0.83,-5,0.75,-6,0.62,10,1.59,6,1.44,5,1.4,-4,1.0,-5,0.68
False,True,4,1.16,-1,0.91,-6,0.82,-6,0.76,-9,0.51,4,1.38,5,1.37,2,1.14,2,1.14,1,0.93
True,False,6,1.4,7,1.24,4,1.13,0,1.03,1,1.01,0,1.17,-2,1.1,2,1.06,-8,0.68,-10,0.54
True,False,4,1.36,3,1.35,8,1.26,-7,0.8,-6,0.73,6,1.31,2,1.18,4,1.1,-2,1.02,-13,0.64
True,False,6,1.4,5,1.31,5,1.18,1,1.1,-12,0.7,6,1.51,-1,1.02,0,0.97,-7,0.92,-3,0.86
False,True,5,1.15,1,1.1,3,1.09,-5,1.0,-6,0.91,8,1.45,-1,1.12,0,1.0,-5,0.94,0,0.91
False,True,0,1.17,-1,1.02,-5,0.97,-5,0.65,-12,0.57,10,1.56,9,1.47,1,1.17,-1,1.04,2,1.03
True,False,9,1.76,9,1.55,6,1.36,2,1.2,3,1.19,-6,0.93,-5,0.82,-4,0.79,-5,0.73,-9,0.69
True,False,5,1.31,-1,1.11,2,0.99,-1,0.96,-1,0.88,6,1.28,-3,1.1,0,0.99,-3,0.82,-5,0.8
True,False,10,1.66,2,1.31,1,1.13,-1,1.12,0,1.03,2,1.08,-3,0.93,-3,0.92,-2,0.85,-7,0.65
False,True,1,1.12,0,0.96,-2,0.95,-8,0.83,-9,0.74,6,1.47,7,1.36,7,1.35,5,1.21,-7,0.97
False,True,1,1.21,0,1.2,1,1.06,-6,0.9,-5,0.83,6,1.24,2,1.17,4,1.15,1,1.12,-4,0.95
True,False,6,1.36,5,1.33,1,1.32,5,1.25,1,1.17,1,1.02,-4,0.99,-3,0.92,-5,0.77,-7,0.66
True,False,2,1.21,2,1.17,1,1.04,0,1.01,-7,0.73,1,1.08,2,1.05,-4,0.98,0,0.98,1,0.9
True,False,9,1.49,7,1.39,3,1.31,-1,1.2,6,1.19,-3,1.07,-1,0.94,-4,0.91,-11,0.72,-9,0.64
False,True,4,1.21,1,1.16,0,1.09,-2,0.93,-7,0.73,7,1.51,3,1.26,4,1.17,-5,0.81,-6,0.69
False,True,-5,0.8,-3,0.75,-3,0.69,-10,0.42,-10,0.34,13,1.92,10,1.9,4,1.36,4,1.27,0,1.19
True,False,8,1.82,6,1.69,7,1.66,5,1.33,-1,1.11,-2,0.88,-6,0.59,-7,0.58,-8,0.52,-9,0.43
True,False,10,1.67,6,1.41,5,1.27,-4,0.87,-5,0.87,5,1.46,-1,1.04,-3,0.9,-5,0.88,-8,0.57
False,True,-1,1.05,2,1.04,-3,0.97,-5,0.92,-4,0.82,11,1.76,1,1.25,1,1.12,0,1.05,-5,0.93
False,True,7,1.42,-2,0.95,-7,0.95,-5,0.88,-7,0.82,17,1.55,4,1.35,4,1.21,-6,0.94,-5,0.9
True,False,9,1.54,6,1.34,3,1.24,-4,0.74,-12,0.58,1,1.18,0,1.0,-3,0.99,0,0.99,-2,0.85
True,False,9,1.69,11,1.48,8,1.45,1,1.17,-1,0.92,3,1.37,-6,0.94,-3,0.7,-12,0.5,-10,0.47
True,False,10,1.82,10,1.66,6,1.61,8,1.35,4,1.31,-5,0.79,-5,0.72,-8,0.45,-9,0.38,-11,0.34
True,False,19,2.3,10,1.87,4,1.67,5,1.58,1,1.38,-6,0.67,-9,0.51,-6,0.5,-9,0.44,-9,0.32
True,False,16,2.13,8,1.56,2,1.37,6,1.37,-6,0.67,-1,1.03,-4,0.84,-3,0.82,-11,0.61,-10,0.56
True,False,17,2.25,10,1.87,6,1.59,8,1.34,0,1.11,-5,0.78,-9,0.51,-7,0.51,-8,0.5,-12,0.32
True,False,8,1.45,3,1.4,5,1.31,2,1.22,5,1.18,-4,0.86,-1,0.85,-5,0.76,-8,0.64,-5,0.61
True,False,6,1.81,10,1.77,8,1.73,7,1.47,0,1.23,-2,0.99,-4,0.77,-6,0.61,-8,0.45,-12,0.26
True,False,4,1.42,6,1.37,5,1.27,4,1.25,-6,0.74,4,1.22,2,1.21,-6,1.02,-5,0.8,-12,0.44
True,False,7,1.63,1,1.42,4,1.4,3,1.27,1,1.22,-1,0.99,0,0.94,-4,0.85,-6,0.74,-5,0.67
True,False,9,1.4,3,1.26,4,1.09,-2,1.07,-5,0.85,7,1.29,-3,1.02,-1,0.99,-9,0.97,-4,0.81
False,True,-8,0.57,-9,0.42,-11,0.38,-8,0.34,-10,0.22,19,2.52,13,2.08,4,1.39,4,1.37,2,1.25
False,True,3,1.3,-3,1.0,-3,0.95,-3,0.93,-6,0.8,12,1.71,3,1.18,1,1.18,-2,1.01,-4,0.96
True,False,10,1.8,3,1.27,1,1.07,1,0.98,-1,0.89,2,1.01,-2,0.99,-4,0.91,-3,0.89,-8,0.58
True,False,10,2.05,12,2.0,8,1.48,6,1.43,3,1.18,-5,0.7,-7,0.68,-6,0.49,-10,0.41,-11,0.26
False,True,7,1.37,-3,0.85,-8,0.69,-8,0.65,-9,0.47,10,1.85,6,1.53,7,1.4,3,1.11,-5,0.84
True,False,10,1.69,7,1.53,4,1.17,-1,1.02,-1,0.98,-4,1.01,0,1.01,-4,0.86,-4,0.85,-7,0.55
False,True,-3,1.11,1,1.08,0,0.99,0,0.97,-4,0.87,4,1.3,3,1.2,1,1.17,-2,1.01,-1,0.85
False,True,9,1.52,5,1.33,-5,0.88,-7,0.86,-13,0.44,7,1.31,6,1.3,3,1.3,0,1.19,-7,0.59
True,False,8,1.48,4,1.44,6,1.43,7,1.37,1,0.89,0,1.04,0,0.97,-6,0.79,-10,0.49,-10,0.45
False,True,0,1.1,1,1.05,0,1.04,-4,0.93,-8,0.73,10,1.49,1,1.27,0,1.04,0,1.02,-3,0.78
True,False,17,2.16,8,1.79,7,1.54,5,1.37,4,1.31,-6,0.7,-6,0.45,-10,0.39,-10,0.3,-9,0.28
True,False,15,1.73,4,1.29,11,1.26,-1,1.14,-9,0.76,-4,1.12,1,1.07,-3,1.0,-5,0.81,-10,0.61
True,False,12,1.9,11,1.76,3,1.39,3,1.36,0,0.96,-2,1.02,-2,0.84,-6,0.62,-8,0.6,-12,0.24
True,False,7,1.66,6,1.48,4,1.28,2,1.14,-3,0.84,-3,1.05,-1,0.89,-3,0.88,-3,0.84,-7,0.67
False,True,11,1.36,6,1.26,3,1.12,-5,1.02,-9,0.8,6,1.35,4,1.3,-3,0.94,-5,0.85,-9,0.69
True,False,10,1.68,11,1.58,4,1.45,6,1.45,5,1.18,-5,0.79,-4,0.7,-9,0.55,-9,0.46,-10,0.31
False,True,1,1.03,0,0.98,-1,0.95,-3,0.92,-7,0.67,5,1.48,5,1.4,0,1.04,-2,0.99,-2,0.96
False,True,6,1.22,-3,0.94,-7,0.87,-9,0.84,-9,0.71,9,1.38,7,1.23,2,1.21,1,1.19,2,1.14
True,False,12,1.64,10,1.52,5,1.48,3,1.43,-5,0.87,-5,0.8,0,0.8,-3,0.8,-7,0.75,-10,0.55
True,False,15,1.99,10,1.83,4,1.28,3,1.2,-3,0.95,1,1.28,-2,0.87,-9,0.64,-10,0.46,-11,0.4
